name|street|city|state|zip|phone|website|lat|lon|slips|max_loa|vhf|amenities|source
The Palm Tree Club|1819 79th Street Causeway|North Bay Village|FL|33141|+13058661570|www.shuckersbarandgrill.com|25.84950180332217|-80.14863354250842|||||marinas.com
Hillsboro Inlet Fishing Center|2705 N Riverside Drive|Pompano|FL|33062|(954) 943-8222|www.hillsboroinletfishcenter.com|26.261465|-80.084826|||||marinas.com
Safe Harbor North Palm Beach|1037 Marina Drive|North Palm Beach|FL|33408|+15616264919||26.82748419741446|-80.05860256703323|||16||marinas.com
Bradford Marine|3051 State Rd 84|Fort Lauderdale|FL|33312|954-791-3800|www.bradford-marine.com|26.08636473714462|-80.18606484184635|||78||marinas.com
HAVN Yacht Club|184 Lake Drive|Palm Beach Shores|FL|33404|+15618487469||26.7803617483457|-80.04047881412795|||16||marinas.com
Riviera Beach Marina Village|200 East 13th Street|Riviera Beach|FL|33404|+15618427806||26.773327|-80.051756|||11||marinas.com
Merritt Boat \u0026 Engine Works|2931 NE 16th St|Pompano Beach|FL|33062|(954) 941-5207||26.25231851198035|-80.09016794832539|||||marinas.com
Pompano Beach Marine Center Inc|701 S Federal Hwy|Pompano Beach|FL|33062|(954) 946-1450|www.pompanoboats.com|26.224615291704367|-80.10405484593753|||||marinas.com
MarineMax Pompano - Service Center|750 S Federal Hwy|Pompano Beach|FL|33062|(954) 618-0440 |www.marinemax.com|26.222034566495623|-80.10266747211355|||||marinas.com
Hillsboro Inlet Marina (private)|2629 N. Riverside Dr|Pompano Beach|FL|33062|954-943-8222\t|www.hillsboroinletfishcenter.com|26.2616249674667|-80.08395012816219|||||marinas.com
Broward Marine|750 NE 7th Ave.|Dania Beach|FL|33004|(954)-927-4119|www.browardshipyard.com|26.061463086556955|-80.13061474489372|||||marinas.com
Power House Marina|13255 Biscayne Blvd|North Miami|FL|33181-2014|(305) 892-2628|www.powerhousemarina.com|25.898350251962384|-80.16051541227024|||||marinas.com
Royale Palm Yacht Basin - Marrone Investments|\t629 NE 3rd Street|Dania Beach|FL|33004|+19549235900||26.059036382226253|-80.13351270913547|||||marinas.com
Pier 17 Marina \u0026 Yacht Club|1500 SW 17th Street|Fort Lauderdale|FL|33312|(195) 473-4937||26.0983009|-80.1624985|||||marinas.com
Delray Harbor Club Marina|1035 S. Federal Hwy|Delray Beach|FL|33483|561-276-0376||26.44555822006963|-80.0658953133016|||||marinas.com
Biscayne Bay Yacht Club|2540 South Bayshore Drive|Coconut Grove|FL|33133|305 858-6303|www.biscaynebayyachtclub.com|25.731298231935938|-80.23083087168608|||||marinas.com
Mid River Marine|413 SW 3rd Ave|Fort Lauderdale|FL|33315|954-646-7131||26.118744262926327|-80.14804061481881|||||marinas.com
IGY Yacht Haven Grande Miami at Island Garden|888 MacArthur Causeway|Miami|FL|33132|305-531-3747||25.78524148|-80.17856491|||71||marinas.com
North Bay Landing Marina|7601 E Treasure Dr # 1701|North Bay Village|FL|33141-4366|(305) 861-6000||25.8483009|-80.1449966|||||marinas.com
